iter	Logloss
0	0.5987259918
1	0.5209664491
2	0.4634339105
3	0.4196826812
4	0.3807894986
5	0.3192567144
6	0.2827091027
7	0.2593167762
8	0.247631607
9	0.2280184607
10	0.217156163
11	0.2102238176
12	0.1994499859
13	0.1897107663
14	0.1814975132
15	0.1725759375
16	0.1650543533
17	0.1629277766
18	0.1566076386
19	0.1523792596
20	0.1463053756
21	0.1413592777
22	0.1378468661
23	0.1326901901
24	0.1293868028
25	0.1279166403
26	0.1248558009
27	0.1220620137
28	0.1191900637
29	0.1179939472
30	0.1148961162
31	0.1137776784
32	0.1131038422
33	0.1125060623
34	0.1102338433
35	0.109326592
36	0.108560683
37	0.1079778748
38	0.1072014353
39	0.1061807842
40	0.104929945
41	0.1045199394
42	0.1032061114
43	0.1023211297
44	0.09977386865
45	0.09863565226
46	0.0980648191
47	0.0962441362
48	0.09527588094
49	0.09411410031
50	0.09394149941
51	0.09343200887
52	0.09294773826
53	0.09232044523
54	0.09201642239
55	0.09127951645
56	0.09100844225
57	0.09018704973
58	0.08918027529
59	0.08847060567
60	0.08764473951
61	0.08647220498
62	0.08572270438
63	0.08533139491
64	0.08496860907
65	0.08361177029
66	0.08229604397
67	0.08189947749
68	0.08116055962
69	0.08074154346
70	0.08016535408
71	0.07985785702
72	0.07910452818
73	0.07886154556
74	0.07853648256
75	0.07788833506
76	0.07737676269
77	0.07696764572
78	0.07648677144
79	0.07597138301
80	0.07568021164
81	0.07517907214
82	0.07480383003
83	0.07462278988
84	0.07401477414
85	0.07358293309
86	0.0733570587
87	0.07294977391
88	0.07256075084
89	0.07209962289
90	0.07187949852
91	0.07085858231
92	0.070302401
93	0.06995189545
94	0.0695636242
95	0.06919193233
96	0.06881789939
97	0.06832250741
98	0.06804755127
99	0.06766743381
100	0.06746039893
101	0.06722961688
102	0.06693200727
103	0.06641472674
104	0.06608091723
105	0.06589712276
106	0.06556582893
107	0.06523637191
108	0.06495385292
109	0.06458762921
110	0.06437170661
111	0.06404014942
112	0.06315079539
113	0.06273330185
114	0.06248401056
115	0.06220982158
116	0.06170729142
117	0.06133566647
118	0.06094902305
119	0.06084319121
120	0.05965511725
121	0.05918220409
122	0.05893673071
123	0.05873191454
124	0.05847630854
125	0.05811863969
126	0.05789807014
127	0.05693609097
128	0.05672938204
129	0.05647799513
130	0.05616452418
131	0.05591022127
132	0.05552171011
133	0.05535441068
134	0.05522132691
135	0.05500345527
136	0.05471286027
137	0.05452997365
138	0.05433124208
139	0.05405436462
140	0.05323621226
141	0.05304069193
142	0.05274163257
143	0.05255419715
144	0.05233049774
145	0.05206390648
146	0.05189647491
147	0.05152431513
148	0.05130332617
149	0.0506213265
150	0.05040784675
151	0.05017104386
152	0.05001425116
153	0.04980980405
154	0.04972425331
155	0.04914777311
156	0.04889118754
157	0.04848930262
158	0.04830669859
159	0.04804857353
160	0.04788382191
161	0.04767781195
162	0.04747218182
163	0.04738535645
164	0.04687198018
165	0.04664806103
166	0.04645034489
167	0.04620665217
168	0.04608149475
169	0.04588311077
170	0.04556318812
171	0.04543947593
172	0.04525735782
173	0.04504748415
174	0.04495183163
175	0.04448990596
176	0.04436179482
177	0.04418102666
178	0.04398616268
179	0.04379107476
180	0.04329964629
181	0.04315249536
182	0.04296130157
183	0.04249206365
184	0.04238783664
185	0.04219528737
186	0.04200163974
187	0.04178807318
188	0.04164228506
189	0.04148631491
190	0.04134861492
191	0.04113003165
192	0.04096655917
193	0.04083003494
194	0.04064101935
195	0.04034916811
196	0.04016742322
197	0.03996548618
198	0.03983261126
199	0.0397237286
